ATECO,ATECO_Desc,Natura,Fatturato,Dipendenti,Provincia,Business_Size,Revenue_Size,Industry,Total_Revenue_36M,Active_Months
G.47.71.10,Commercio al dettaglio di confezioni per adulti,1.b Azienda individuale,0,1,PA,Micro (1-10),No revenue,Wholesale/Retail,12017,36
C.32.91.00,Fabbricazione di scope e spazzole,1.a Impresa,1816990,6,VE,Micro (1-10),Medium (1M-10M),Manufacturing,6582,19
M.73.20.00,RICERCHE DI MERCATO E SONDAGGI DI OPINIONE,1.a Impresa,2630822,16,FI,Small (11-50),Medium (1M-10M),Professional Services,7733,34
C.26.11.09,Fabbricazione di altri componenti elettronici,1.a Impresa,17652491,104,NO,Medium (51-250),Large (>10M),Manufacturing,20600,35
G.46.22.00,Commercio all'ingrosso di fiori e piante,1.a Impresa,481186,3,BO,Micro (1-10),Small (100k-1M),Wholesale/Retail,16608,36
G.47.65.00,Commercio al dettaglio di giochi e giocattoli in esercizi specializzati,1.a Impresa,2029732,11,VR,Small (11-50),Medium (1M-10M),Wholesale/Retail,14156,36
G.47.73.00,Commercio al dettaglio di medicinali in esercizi specializzati,1.b Azienda individuale,0,1,CS,Micro (1-10),No revenue,Wholesale/Retail,4585,10
J.58.11.00,Edizione di libri,1.a Impresa,3871053,8,MI,Micro (1-10),Medium (1M-10M),Information/Technology,10119,30
G.47.91.30,Commercio al dettaglio di qualsiasi tipo di prodotto per corrispondenza radio telefono,1.b Azienda individuale,266543,1,BS,Micro (1-10),Small (100k-1M),Wholesale/Retail,11919,35
G.47.72.10,Commercio al dettaglio di calzature e accessori,1.a Impresa,397955,5,RM,Micro (1-10),Small (100k-1M),Wholesale/Retail,8660,36
G.45.40.21,Commercio all'ingrosso e al dettaglio di parti e accessori per motocicli e ciclomotori,1.b Azienda individuale,240963,1,PC,Micro (1-10),Small (100k-1M),Wholesale/Retail,12027,36
P.85.42.00,"""Istruzione universitaria e post-universitaria; accademie e conservatori""",2. Ente pubblico / gest. serv. pubblici,0,0,FI,No employees,No revenue,Other,7138,20
G.47.71.00,Commercio al dettaglio di articoli di abbigliamento in esercizi specializzati,1.a Impresa,6462692,48,PD,Small (11-50),Medium (1M-10M),Wholesale/Retail,21294,36
C.25.73.20,Fabbricazione di stampi portastampi sagome forme per macchine,1.a Impresa,10677197,70,RE,Medium (51-250),Large (>10M),Manufacturing,15143,36
G.47.11.20,Supermercati,1.a Impresa,16843022,101,MI,Medium (51-250),Large (>10M),Wholesale/Retail,4568,7
G.46.90.00,COMMERCIO ALL'INGROSSO NON SPECIALIZZATO,1.b Azienda individuale,0,1,TO,Micro (1-10),No revenue,Wholesale/Retail,5250,14
G.46.42.10,Commercio all'ingrosso di abbigliamento e accessori,1.a Impresa,0,9,RM,Micro (1-10),No revenue,Wholesale/Retail,12085,36
C.14.13.20,Sartoria e confezione su misura di abbigliamento esterno,1.a Impresa,359889,3,RM,Micro (1-10),Small (100k-1M),Manufacturing,15949,36
G.47.52.40,"""Commercio al dettaglio di macchine attrezzature e prodotti per l'agricoltura; macchine e attrezzature per il giardinaggio""",1.a Impresa,905210,9,VR,Micro (1-10),Small (100k-1M),Wholesale/Retail,15014,36
C.28.23.01,Fabbricazione di cartucce toner,1.b Azienda individuale,0,1,Unknown,Micro (1-10),No revenue,Manufacturing,12729,35
G.46.44.10,Commercio all'ingrosso di vetreria e cristalleria,1.a Impresa,38911054,26,FI,Small (11-50),Large (>10M),Wholesale/Retail,11222,36
S.95.11.00,Riparazione di computer e periferiche,1.a Impresa,827980,14,FI,Small (11-50),Small (100k-1M),Other Services,12517,36
G.46.45.00,Commercio all'ingrosso di profumi e cosmetici,1.a Impresa,0,4,RO,Micro (1-10),No revenue,Wholesale/Retail,4610,13
C.14.13.20,Sartoria e confezione su misura di abbigliamento esterno,3. Associazione,0,2,BR,Micro (1-10),No revenue,Manufacturing,16363,36
N.77.39.10,Noleggio di altri mezzi di trasporto terrestri,1.a Impresa,27427762,131,TO,Medium (51-250),Large (>10M),Business Services,9358,36
G.46.34.10,Commercio all'ingrosso di bevande alcoliche,1.a Impresa,742942,10,AL,Micro (1-10),Small (100k-1M),Wholesale/Retail,13302,36
C.10.41.10,Produzione di olio di oliva da olive prevalentemente non di produzione propria,1.a Impresa,56244,1,PA,Micro (1-10),Very Small (<100k),Manufacturing,12688,34
G.47.52.10,Commercio al dettaglio di ferramenta vernici vetro piano e materiale elettrico e termoidraulico,1.a Impresa,43098926,221,VA,Medium (51-250),Large (>10M),Wholesale/Retail,12118,36
G.45.19.01,Commercio all'ingrosso e al dettaglio di altri autoveicoli,1.a Impresa,29289214,32,MI,Small (11-50),Large (>10M),Wholesale/Retail,15640,36
J.58.11.00,Edizione di libri,1.a Impresa,30049537,32,BS,Small (11-50),Large (>10M),Information/Technology,12325,36
G.47.59.00,Commercio al dettaglio di mobili di articoli per l'illuminazione e altri articoli per la casa in esercizi specializzati,1.a Impresa,350553,5,RM,Micro (1-10),Small (100k-1M),Wholesale/Retail,17521,29
G.47.71.20,Commercio al dettaglio di confezioni per bambini e neonati,1.a Impresa,258680,4,FG,Micro (1-10),Small (100k-1M),Wholesale/Retail,4706,13
G.47.72.10,Commercio al dettaglio di calzature e accessori,1.a Impresa,3233064,24,OR,Small (11-50),Medium (1M-10M),Wholesale/Retail,26167,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.b Azienda individuale,231930,1,PU,Micro (1-10),Small (100k-1M),Wholesale/Retail,17028,36
M.74.90.00,ALTRE ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE NCA,1.a Impresa,2444672,22,PD,Small (11-50),Medium (1M-10M),Professional Services,10101,36
J.58.10.00,EDIZIONE DI LIBRI PERIODICI ED ALTRE ATTIVITÀ EDITORIALI,1.a Impresa,2667059,8,MI,Micro (1-10),Medium (1M-10M),Information/Technology,12553,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.b Azienda individuale,0,2,Unknown,Micro (1-10),No revenue,Wholesale/Retail,4496,11
C.23.65.00,Fabbricazione di prodotti in fibrocemento,1.a Impresa,31086548,65,RE,Medium (51-250),Large (>10M),Manufacturing,14677,36
R.93.29.90,Altre attività di intrattenimento e di divertimento nca,1.a Impresa,2581166,186,PZ,Medium (51-250),Medium (1M-10M),Other,10415,32
J.58.14.00,Edizione di riviste e periodici,3. Associazione,0,6,Unknown,Micro (1-10),No revenue,Information/Technology,11962,36
M.73.11.02,Conduzione di campagne di marketing e altri servizi pubblicitari,1.a Impresa,542111,66,Unknown,Medium (51-250),Small (100k-1M),Professional Services,20150,36
S.94.99.90,Attività di altre organizzazioni associative nca,3. Associazione,0,0,Unknown,No employees,No revenue,Other Services,16648,36
M.73.20.00,RICERCHE DI MERCATO E SONDAGGI DI OPINIONE,1.a Impresa,1462922,9,FE,Micro (1-10),Medium (1M-10M),Professional Services,7157,36
C.22.20.00,FABBRICAZIONE DI ARTICOLI IN MATERIE PLASTICHE,1.a Impresa,14170789,88,Unknown,Medium (51-250),Large (>10M),Manufacturing,11458,36
G.47.61.00,Commercio al dettaglio di libri in esercizi specializzati,Altro / ND,0,7,RM,Micro (1-10),No revenue,Wholesale/Retail,9556,36
C.20.42.00,Fabbricazione di profumi e cosmetici,1.a Impresa,1262197,15,PG,Small (11-50),Medium (1M-10M),Manufacturing,15512,36
G.46.46.10,Commercio all'ingrosso di medicinali,1.a Impresa,16047128,36,CN,Small (11-50),Large (>10M),Wholesale/Retail,4470,9
G.46.62.00,Commercio all'ingrosso di macchine utensili,1.a Impresa,1155482,1,RM,Micro (1-10),Medium (1M-10M),Wholesale/Retail,13991,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.b Azienda individuale,245081,1,RM,Micro (1-10),Small (100k-1M),Wholesale/Retail,14495,36
S.95.22.01,Riparazione di elettrodomestici e di articoli per la casa,1.a Impresa,65233,2,Unknown,Micro (1-10),Very Small (<100k),Other Services,14826,36
G.46.49.90,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,1.a Impresa,462325,2,Unknown,Micro (1-10),Small (100k-1M),Wholesale/Retail,4459,8
G.46.46.10,Commercio all'ingrosso di medicinali,1.a Impresa,7690982,10,RE,Micro (1-10),Medium (1M-10M),Wholesale/Retail,10833,36
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,696176,4,UD,Micro (1-10),Small (100k-1M),Transportation,13333,35
G.47.52.10,Commercio al dettaglio di ferramenta vernici vetro piano e materiale elettrico e termoidraulico,1.a Impresa,6157275,14,PI,Small (11-50),Medium (1M-10M),Wholesale/Retail,26413,36
C.18.12.00,Altra stampa,1.a Impresa,295493,1,BS,Micro (1-10),Small (100k-1M),Manufacturing,12384,36
C.14.19.10,Confezioni varie e accessori per l'abbigliamento,1.a Impresa,218340,1,FI,Micro (1-10),Small (100k-1M),Manufacturing,13910,36
G.46.18.98,Procacciatori d'affari di attrezzature sportive biciclette e altri prodotti nca,1.a Impresa,1135467,1,SP,Micro (1-10),Medium (1M-10M),Wholesale/Retail,14240,36
G.47.65.00,Commercio al dettaglio di giochi e giocattoli in esercizi specializzati,1.a Impresa,2211,1,Unknown,Micro (1-10),Very Small (<100k),Wholesale/Retail,4445,11
G.46.46.30,Commercio all'ingrosso di articoli medicali ed ortopedici,1.a Impresa,1055435,5,TO,Micro (1-10),Medium (1M-10M),Wholesale/Retail,19738,36
G.47.52.10,Commercio al dettaglio di ferramenta vernici vetro piano e materiale elettrico e termoidraulico,1.b Azienda individuale,237212,1,PD,Micro (1-10),Small (100k-1M),Wholesale/Retail,11743,36
G.46.46.10,Commercio all'ingrosso di medicinali,1.a Impresa,3248121,5,MI,Micro (1-10),Medium (1M-10M),Wholesale/Retail,12969,36
K.64.19.10,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,1.a Impresa,7095433,28,Unknown,Small (11-50),Medium (1M-10M),Other,19520,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,0,1,TV,Micro (1-10),No revenue,Wholesale/Retail,16211,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.b Azienda individuale,0,2,CT,Micro (1-10),No revenue,Business Services,63244,35
G.46.34.10,Commercio all'ingrosso di bevande alcoliche,1.a Impresa,14892030,27,BO,Small (11-50),Large (>10M),Wholesale/Retail,13917,36
S.95.22.01,Riparazione di elettrodomestici e di articoli per la casa,1.a Impresa,258935,4,VI,Micro (1-10),Small (100k-1M),Other Services,17801,36
G.46.46.10,Commercio all'ingrosso di medicinali,1.a Impresa,34306353,173,MI,Medium (51-250),Large (>10M),Wholesale/Retail,14701,36
G.47.65.00,Commercio al dettaglio di giochi e giocattoli in esercizi specializzati,1.a Impresa,8331680,11,MO,Small (11-50),Medium (1M-10M),Wholesale/Retail,4415,9
C.29.32.09,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca,1.a Impresa,20893896,34,Unknown,Small (11-50),Large (>10M),Manufacturing,20980,32
C.28.29.10,Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori),1.a Impresa,567184,9,GR,Micro (1-10),Small (100k-1M),Manufacturing,14069,36
G.47.91.30,Commercio al dettaglio di qualsiasi tipo di prodotto per corrispondenza radio telefono,3. Associazione,0,1,VA,Micro (1-10),No revenue,Wholesale/Retail,12471,36
G.47.74.00,Commercio al dettaglio di articoli medicali e ortopedici in esercizi specializzati,1.a Impresa,257597,1,TO,Micro (1-10),Small (100k-1M),Wholesale/Retail,15447,36
G.46.38.90,Commercio all'ingrosso di altri prodotti alimentari,1.a Impresa,3200155,16,TO,Small (11-50),Medium (1M-10M),Wholesale/Retail,17495,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.b Azienda individuale,233708,1,GE,Micro (1-10),Small (100k-1M),Wholesale/Retail,9696,36
G.45.31.01,Commercio all'ingrosso di parti e accessori di autoveicoli,1.a Impresa,20853208,7,FI,Micro (1-10),Large (>10M),Wholesale/Retail,12683,36
G.45.40.30,Manutenzione e riparazione di motocicli e ciclomotori (inclusi i pneumatici),1.a Impresa,9118878,41,MI,Small (11-50),Medium (1M-10M),Wholesale/Retail,8805,36
R.93.19.10,Enti e organizzazioni sportive promozione di eventi sportivi,1.a Impresa,1387770,9,MI,Micro (1-10),Medium (1M-10M),Other,18292,36
G.47.64.10,Commercio al dettaglio di articoli sportivi biciclette e articoli per il tempo libero,1.a Impresa,653513,5,PG,Micro (1-10),Small (100k-1M),Wholesale/Retail,13724,36
G.47.71.00,Commercio al dettaglio di articoli di abbigliamento in esercizi specializzati,1.a Impresa,3206799,14,LI,Small (11-50),Medium (1M-10M),Wholesale/Retail,13848,36
N.77.11.00,Noleggio di autovetture ed autoveicoli leggeri,1.a Impresa,20736,1,Unknown,Micro (1-10),Very Small (<100k),Business Services,5237,19
G.46.31.20,Commercio all'ingrosso di frutta e ortaggi conservati,1.a Impresa,429448,3,Unknown,Micro (1-10),Small (100k-1M),Wholesale/Retail,6197,19
N.82.99.20,Agenzie di distribuzione di libri giornali e riviste,1.a Impresa,17236051,155,UD,Medium (51-250),Large (>10M),Business Services,22481,36
G.47.81.09,Commercio al dettaglio ambulante di altri prodotti alimentari e bevande nca,1.b Azienda individuale,0,4,FE,Micro (1-10),No revenue,Wholesale/Retail,8394,36
O.8411L9,ALTRE ATTIVITA' DELLA PA LOCALE,2. Ente pubblico / gest. serv. pubblici,0,0,TR,No employees,No revenue,Public Administration,12519,36
H.52.21.90,Altre attività connesse ai trasporti terrestri nca,1.a Impresa,367738,1,BI,Micro (1-10),Small (100k-1M),Transportation,60142,32
C.32.50.30,Fabbricazione di protesi ortopediche altre protesi ed ausili (inclusa riparazione),1.a Impresa,958811,9,BO,Micro (1-10),Small (100k-1M),Manufacturing,18079,36
N.82.91.10,Attività di agenzie di recupero crediti,1.a Impresa,2423778,14,BS,Small (11-50),Medium (1M-10M),Business Services,14836,36
M.70.22.01,Attività di consulenza per la gestione della logistica aziendale,1.a Impresa,0,1,Unknown,Micro (1-10),No revenue,Professional Services,4370,7
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.b Azienda individuale,0,1,RE,Micro (1-10),No revenue,Wholesale/Retail,10715,36
S.94.00.00,ATTIVITÀ DI ORGANIZZAZIONI ASSOCIATIVE,3. Associazione,0,11,GR,Small (11-50),No revenue,Other Services,8147,34
G.47.71.10,Commercio al dettaglio di confezioni per adulti,1.a Impresa,3524984,25,CH,Small (11-50),Medium (1M-10M),Wholesale/Retail,4440,13
J.62.01.00,Produzione di software non connesso all'edizione,1.a Impresa,3800311,19,MB,Small (11-50),Medium (1M-10M),Information/Technology,4357,11
C.14.13.10,Confezione in serie di abbigliamento esterno,1.a Impresa,216456,8,VI,Micro (1-10),Small (100k-1M),Manufacturing,14432,36
G.46.38.90,Commercio all'ingrosso di altri prodotti alimentari,1.a Impresa,2368468,10,BO,Micro (1-10),Medium (1M-10M),Wholesale/Retail,13501,36
C.29.32.09,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca,1.b Azienda individuale,279299,1,FE,Micro (1-10),Small (100k-1M),Manufacturing,12398,36
G.46.60.00,COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI ATTREZZATURE E FORNITURE,1.a Impresa,29387690,142,BO,Medium (51-250),Large (>10M),Wholesale/Retail,21616,4
G.46.46.30,Commercio all'ingrosso di articoli medicali ed ortopedici,1.a Impresa,5815309,19,MB,Small (11-50),Medium (1M-10M),Wholesale/Retail,12986,36
A.01.21.00,Coltivazione di uva,1.a Impresa,34149362,54,PN,Medium (51-250),Large (>10M),Other,11359,36
C.10.70.00,PRODUZIONE DI PRODOTTI DA FORNO E FARINACEI,1.a Impresa,0,2,Unknown,Micro (1-10),No revenue,Manufacturing,4327,12
G.46.49.90,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,1.a Impresa,536391,3,MI,Micro (1-10),Small (100k-1M),Wholesale/Retail,18769,36
H.52.29.21,Intermediari dei trasporti,1.b Azienda individuale,0,1,Unknown,Micro (1-10),No revenue,Transportation,5170,15
G.47.91.30,Commercio al dettaglio di qualsiasi tipo di prodotto per corrispondenza radio telefono,1.b Azienda individuale,0,8,Unknown,Micro (1-10),No revenue,Wholesale/Retail,4916,15
G.47.61.00,Commercio al dettaglio di libri in esercizi specializzati,1.a Impresa,491101,7,TO,Micro (1-10),Small (100k-1M),Wholesale/Retail,8160,29
G.47.62.20,Commercio al dettaglio di articoli di cartoleria e forniture per ufficio,1.a Impresa,0,2,SA,Micro (1-10),No revenue,Wholesale/Retail,11618,36
I.56.10.11,Ristorazione con somministrazione,1.a Impresa,24687879,434,CA,Large (>250),Large (>10M),Other,9572,21
G.47.22.00,Commercio al dettaglio di carni e di prodotti a base di carne in esercizi specializzati,1.b Azienda individuale,0,6,Unknown,Micro (1-10),No revenue,Wholesale/Retail,4311,9
J.58.11.00,Edizione di libri,1.a Impresa,7373270,14,RM,Small (11-50),Medium (1M-10M),Information/Technology,10718,36
G.47.78.99,Commercio al dettaglio di altri prodotti non alimentari nca,1.a Impresa,1056480,5,RA,Micro (1-10),Medium (1M-10M),Wholesale/Retail,4312,3
G.47.99.20,Commercio effettuato per mezzo di distributori automatici,1.a Impresa,7939342,66,FE,Medium (51-250),Medium (1M-10M),Wholesale/Retail,16692,36
C.18.12.00,Altra stampa,1.a Impresa,0,3,Unknown,Micro (1-10),No revenue,Manufacturing,15476,32
G.46.49.20,Commercio all'ingrosso di libri riviste e giornali,1.a Impresa,2226350,10,PR,Micro (1-10),Medium (1M-10M),Wholesale/Retail,9554,36
A.01.21.00,Coltivazione di uva,1.b Azienda individuale,0,2,SI,Micro (1-10),No revenue,Other,11648,34
G.47.11.40,Minimercati ed altri esercizi non specializzati di alimentari vari,1.a Impresa,18853977,104,MI,Medium (51-250),Large (>10M),Wholesale/Retail,4295,8
G.46.46.30,Commercio all'ingrosso di articoli medicali ed ortopedici,1.a Impresa,2099257,11,TV,Small (11-50),Medium (1M-10M),Wholesale/Retail,16395,36
G.47.64.10,Commercio al dettaglio di articoli sportivi biciclette e articoli per il tempo libero,1.a Impresa,2202769,12,Unknown,Small (11-50),Medium (1M-10M),Wholesale/Retail,4293,12
G.46.34.20,Commercio all'ingrosso di bevande non alcoliche,1.a Impresa,4102770,22,SA,Small (11-50),Medium (1M-10M),Wholesale/Retail,11692,34
G.47.78.31,Commercio al dettaglio di oggetti d'arte (incluse le gallerie d'arte),1.a Impresa,1045533,8,AT,Micro (1-10),Medium (1M-10M),Wholesale/Retail,12353,35
G.47.74.00,Commercio al dettaglio di articoli medicali e ortopedici in esercizi specializzati,1.a Impresa,12913674,71,UD,Medium (51-250),Large (>10M),Wholesale/Retail,9486,36
G.47.64.10,Commercio al dettaglio di articoli sportivi biciclette e articoli per il tempo libero,1.a Impresa,3559401,17,Unknown,Small (11-50),Medium (1M-10M),Wholesale/Retail,4898,30
G.46.64.00,Commercio all'ingrosso di macchinari per l'industria tessile di macchine per cucire e per maglieria,1.a Impresa,416520,2,MO,Micro (1-10),Small (100k-1M),Wholesale/Retail,12972,36
N.81.29.10,Servizi di disinfestazione,1.a Impresa,2982731,14,BS,Small (11-50),Medium (1M-10M),Business Services,4279,7
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,0,4,MI,Micro (1-10),No revenue,Business Services,7057,26
G.46.75.01,Commercio all'ingrosso di fertilizzanti e di altri prodotti chimici per l'agricoltura,1.a Impresa,23659505,28,TV,Small (11-50),Large (>10M),Wholesale/Retail,9554,36
N.82.91.10,Attività di agenzie di recupero crediti,1.a Impresa,544184,3,RM,Micro (1-10),Small (100k-1M),Business Services,15981,36
M.70.22.09,Altre attività di consulenza imprenditoriale e altra consulenza amministrativogestionale e pianificazione aziendale ,1.a Impresa,1921781,21,Unknown,Small (11-50),Medium (1M-10M),Professional Services,4270,2
A.01.19.20,Coltivazione di fiori in colture protette,1.b Azienda individuale,0,7,UD,Micro (1-10),No revenue,Other,18304,36
G.47.65.00,Commercio al dettaglio di giochi e giocattoli in esercizi specializzati,1.a Impresa,594546,4,RM,Micro (1-10),Small (100k-1M),Wholesale/Retail,12348,36
C.20.20.00,FABBRICAZIONE DI AGROFARMACI E DI ALTRI PRODOTTI CHIMICI PER L'AGRICOLTURA,1.a Impresa,3255393,18,TV,Small (11-50),Medium (1M-10M),Manufacturing,15640,35
G.46.18.31,"""Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso medico""",1.a Impresa,1109562,15,RM,Small (11-50),Medium (1M-10M),Wholesale/Retail,21474,32
C.10.71.20,Produzione di pasticceria fresca,1.a Impresa,0,3,AT,Micro (1-10),No revenue,Manufacturing,11669,34
A.01.49.30,Apicoltura,1.b Azienda individuale,0,7,EN,Micro (1-10),No revenue,Other,11722,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.b Azienda individuale,0,1,Unknown,Micro (1-10),No revenue,Wholesale/Retail,4334,13
J.58.10.00,EDIZIONE DI LIBRI PERIODICI ED ALTRE ATTIVITÀ EDITORIALI,3. Associazione,0,7,MI,Micro (1-10),No revenue,Information/Technology,12938,36
G.46.69.94,Commercio all'ingrosso di articoli antincendio e antinfortunistici,1.a Impresa,3142434,17,RA,Small (11-50),Medium (1M-10M),Wholesale/Retail,12740,36
G.46.47.30,"""Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico""",1.a Impresa,2414408,9,VI,Micro (1-10),Medium (1M-10M),Wholesale/Retail,11391,36
K.66.19.50,Servizi di trasferimento di denaro (money transfer),1.a Impresa,0,26,Unknown,Small (11-50),No revenue,Other,11888,36
P.85.32.09,Altra istruzione secondaria di secondo grado di formazione tecnica professionale e artistica,Altro / ND,0,106,Unknown,Medium (51-250),No revenue,Other,14555,36
C.13.92.20,Fabbricazione di articoli in materie tessili nca,1.a Impresa,3664983,21,TN,Small (11-50),Medium (1M-10M),Manufacturing,12331,36
G.45.40.30,Manutenzione e riparazione di motocicli e ciclomotori (inclusi i pneumatici),1.b Azienda individuale,0,2,VI,Micro (1-10),No revenue,Wholesale/Retail,16064,36
G.46.49.50,"""Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale""",1.a Impresa,24616430,5,MI,Micro (1-10),Large (>10M),Wholesale/Retail,16828,36
G.46.51.00,Commercio all'ingrosso di computer apparecchiature informatiche periferiche e di software,1.a Impresa,5054679,28,CO,Small (11-50),Medium (1M-10M),Wholesale/Retail,13989,36
C.27.90.09,Fabbricazione di altre apparecchiature elettriche nca,1.a Impresa,24497797,26,MI,Small (11-50),Large (>10M),Manufacturing,9550,32
C.22.29.09,Fabbricazione di altri articoli in materie plastiche nca,1.a Impresa,434581,5,PI,Micro (1-10),Small (100k-1M),Manufacturing,16805,36
P.85.59.20,Corsi di formazione e corsi di aggiornamento professionale,1.a Impresa,6788657,28,MI,Small (11-50),Medium (1M-10M),Other,8932,20
G.46.75.02,Commercio all'ingrosso di prodotti chimici per l'industria,1.a Impresa,7307204,10,PU,Micro (1-10),Medium (1M-10M),Wholesale/Retail,4724,13
G.47.25.00,Commercio al dettaglio di bevande in esercizi specializzati,1.b Azienda individuale,0,2,AL,Micro (1-10),No revenue,Wholesale/Retail,13639,36
C.32.12.10,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi,1.a Impresa,24834773,170,FI,Medium (51-250),Large (>10M),Manufacturing,72413,36
C.31.09.10,Fabbricazione di mobili per arredo domestico,1.b Azienda individuale,277399,2,FI,Micro (1-10),Small (100k-1M),Manufacturing,11270,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,333867,1,RI,Micro (1-10),Small (100k-1M),Business Services,10234,34
O.8411L9,ALTRE ATTIVITA' DELLA PA LOCALE,2. Ente pubblico / gest. serv. pubblici,402411,9,MI,Micro (1-10),Small (100k-1M),Public Administration,9903,33
G.47.79.30,Commercio al dettaglio di indumenti e altri oggetti usati,1.a Impresa,0,1,Unknown,Micro (1-10),No revenue,Wholesale/Retail,5674,20
G.47.26.00,Commercio al dettaglio di prodotti del tabacco in esercizi specializzati,1.b Azienda individuale,0,4,AG,Micro (1-10),No revenue,Wholesale/Retail,8291,29
C.28.30.90,Fabbricazione di altre macchine per l'agricoltura la silvicoltura e la zootecnia,1.a Impresa,23933893,55,BO,Medium (51-250),Large (>10M),Manufacturing,39086,27
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,1548968,3,RN,Micro (1-10),Medium (1M-10M),Wholesale/Retail,24750,36
J.58.11.00,Edizione di libri,1.a Impresa,6873361,75,SA,Medium (51-250),Medium (1M-10M),Information/Technology,28322,36
G.46.44.30,Commercio all'ingrosso di saponi detersivi e altri prodotti per la pulizia,1.a Impresa,778181,5,TV,Micro (1-10),Small (100k-1M),Wholesale/Retail,40410,36
M.71.20.21,Controllo di qualità e certificazione di prodotti processi e sistemi,1.a Impresa,1008534,7,CT,Micro (1-10),Medium (1M-10M),Professional Services,14360,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,273398,1,Unknown,Micro (1-10),Small (100k-1M),Wholesale/Retail,9711,24
S.94.00.00,ATTIVITÀ DI ORGANIZZAZIONI ASSOCIATIVE,3. Associazione,0,0,MI,No employees,No revenue,Other Services,12512,36
G.46.34.10,Commercio all'ingrosso di bevande alcoliche,1.a Impresa,9486432,27,TV,Small (11-50),Medium (1M-10M),Wholesale/Retail,4652,13
J.58.14.00,Edizione di riviste e periodici,1.a Impresa,20949936,6,TO,Micro (1-10),Large (>10M),Information/Technology,9173,36
G.46.49.90,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,1.a Impresa,59661,2,MB,Micro (1-10),Very Small (<100k),Wholesale/Retail,15974,36
G.47.61.00,Commercio al dettaglio di libri in esercizi specializzati,1.a Impresa,255727,2,MI,Micro (1-10),Small (100k-1M),Wholesale/Retail,10416,36
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.b Azienda individuale,0,1,TO,Micro (1-10),No revenue,Transportation,13388,36
N.77.11.00,Noleggio di autovetture ed autoveicoli leggeri,1.a Impresa,30575370,55,PN,Medium (51-250),Large (>10M),Business Services,10678,36
C.14.10.00,CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO (ESCLUSO ABBIGLIAMENTO IN PELLICCIA),1.a Impresa,379137,3,FI,Micro (1-10),Small (100k-1M),Manufacturing,12019,36
G.46.21.22,Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi) piante officinali semi oleosi patate da semina,1.a Impresa,3451620,4,MO,Micro (1-10),Medium (1M-10M),Wholesale/Retail,19088,36
J.63.11.19,Altre elaborazioni elettroniche di dati,1.a Impresa,1520906,1,MI,Micro (1-10),Medium (1M-10M),Information/Technology,4138,9
K.64.99.60,Altre intermediazioni finanziarie nca,1.a Impresa,8158157,55,RM,Medium (51-250),Medium (1M-10M),Other,10278,36
G.46.46.30,Commercio all'ingrosso di articoli medicali ed ortopedici,1.a Impresa,4394136,6,PG,Micro (1-10),Medium (1M-10M),Wholesale/Retail,4458,13
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.b Azienda individuale,0,1,LE,Micro (1-10),No revenue,Wholesale/Retail,5378,23
J.58.14.00,Edizione di riviste e periodici,1.a Impresa,366249,1,Unknown,Micro (1-10),Small (100k-1M),Information/Technology,15849,36
C.20.42.00,Fabbricazione di profumi e cosmetici,1.a Impresa,351286,4,FI,Micro (1-10),Small (100k-1M),Manufacturing,4169,11
