ATECO,ATECO_Desc,Natura,Fatturato,Dipendenti,Provincia,Business_Size,Revenue_Size,Industry,Total_Revenue_36M,Active_Months
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,3108032,10,SA,Micro (1-10),Medium (1M-10M),Wholesale/Retail,788108,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,5058959,35,MI,Small (11-50),Medium (1M-10M),Business Services,1197577,36
G.47.73.10,Farmacie,1.a Impresa,0,32,BA,Small (11-50),No revenue,Wholesale/Retail,540500,20
G.47.62.20,Commercio al dettaglio di articoli di cartoleria e forniture per ufficio,1.a Impresa,4029721,22,BG,Small (11-50),Medium (1M-10M),Wholesale/Retail,1058649,36
N.82.19.09,Servizi di fotocopiatura preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio,1.a Impresa,1573142,15,MI,Small (11-50),Medium (1M-10M),Business Services,953282,36
M.70.22.01,Attività di consulenza per la gestione della logistica aziendale,1.a Impresa,872502,1,VR,Micro (1-10),Small (100k-1M),Professional Services,929316,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,1761441,3,MB,Micro (1-10),Medium (1M-10M),Transportation,1377768,36
G.47.52.10,Commercio al dettaglio di ferramenta vernici vetro piano e materiale elettrico e termoidraulico,1.a Impresa,846096,3,MT,Micro (1-10),Small (100k-1M),Wholesale/Retail,601594,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,48600455,30,FI,Small (11-50),Large (>10M),Wholesale/Retail,1605379,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,360041,3,MI,Micro (1-10),Small (100k-1M),Transportation,839556,36
G.47.71.10,Commercio al dettaglio di confezioni per adulti,1.a Impresa,830705,16,BN,Small (11-50),Small (100k-1M),Wholesale/Retail,406801,11
G.47.11.40,Minimercati ed altri esercizi non specializzati di alimentari vari,1.a Impresa,4745328,3,SA,Micro (1-10),Medium (1M-10M),Wholesale/Retail,1084167,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,20152581,175,MI,Medium (51-250),Large (>10M),Wholesale/Retail,965736,36
H.52.00.00,MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI,1.a Impresa,0,0,Unknown,No employees,No revenue,Transportation,1099603,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,133223,1,Unknown,Micro (1-10),Small (100k-1M),Business Services,438698,23
H.52.29.21,Intermediari dei trasporti,1.a Impresa,4288711,11,MI,Small (11-50),Medium (1M-10M),Transportation,1530039,36
M.70.22.01,Attività di consulenza per la gestione della logistica aziendale,1.a Impresa,1705478,6,TV,Micro (1-10),Medium (1M-10M),Professional Services,477257,17
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,8548113,8,Unknown,Micro (1-10),Medium (1M-10M),Transportation,375497,23
M.70.22.09,Altre attività di consulenza imprenditoriale e altra consulenza amministrativogestionale e pianificazione aziendale ,1.a Impresa,736980,1,Unknown,Micro (1-10),Small (100k-1M),Professional Services,642419,23
N.82.92.20,Imballaggio e confezionamento di generi non alimentari,1.a Impresa,3057812,17,MI,Small (11-50),Medium (1M-10M),Business Services,659140,35
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,0,0,Unknown,No employees,No revenue,Transportation,921593,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,34826733,68,Unknown,Medium (51-250),Large (>10M),Wholesale/Retail,648247,36
J.63.12.00,Portali web,1.a Impresa,1183073,16,MI,Small (11-50),Medium (1M-10M),Information/Technology,698714,36
N.82.19.09,Servizi di fotocopiatura preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio,1.a Impresa,2011631,12,CN,Small (11-50),Medium (1M-10M),Business Services,783575,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,603959,4,BA,Micro (1-10),Small (100k-1M),Business Services,691809,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,19407455,91,RM,Medium (51-250),Large (>10M),Wholesale/Retail,819302,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,452530,7,MI,Micro (1-10),Small (100k-1M),Transportation,1133551,36
H.52.10.10,Magazzini di custodia e deposito per conto terzi,1.a Impresa,7184672,29,CN,Small (11-50),Medium (1M-10M),Transportation,689436,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.b Azienda individuale,263835,3,Unknown,Micro (1-10),Small (100k-1M),Business Services,736797,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,620668,10,Unknown,Micro (1-10),Small (100k-1M),Transportation,698818,36
G.47.54.00,Commercio al dettaglio di elettrodomestici in esercizi specializzati,1.a Impresa,3592293,5,Unknown,Micro (1-10),Medium (1M-10M),Wholesale/Retail,607259,36
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,807776,1,Unknown,Micro (1-10),Small (100k-1M),Transportation,264684,8
N.82.19.09,Servizi di fotocopiatura preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio,1.a Impresa,809844,5,TA,Micro (1-10),Small (100k-1M),Business Services,640536,36
C.10.85.09,Produzione di pasti e piatti pronti di altri prodotti alimentari,1.a Impresa,2630211,46,MB,Small (11-50),Medium (1M-10M),Manufacturing,409216,30
N.82.19.09,Servizi di fotocopiatura preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio,1.a Impresa,1288122,11,TA,Small (11-50),Medium (1M-10M),Business Services,640600,36
S.95.11.00,Riparazione di computer e periferiche,1.a Impresa,20233332,77,MB,Medium (51-250),Large (>10M),Other Services,894020,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,3047225,13,RM,Small (11-50),Medium (1M-10M),Wholesale/Retail,473286,36
G.47.53.11,Commercio al dettaglio di tende e tendine,1.b Azienda individuale,0,7,Unknown,Micro (1-10),No revenue,Wholesale/Retail,345723,21
J.62.01.00,Produzione di software non connesso all'edizione,1.a Impresa,651072,25,Unknown,Small (11-50),Small (100k-1M),Information/Technology,275701,26
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,1331660,5,Unknown,Micro (1-10),Medium (1M-10M),Wholesale/Retail,270444,9
